,Epoch,loss,MAP,learnig rate
0,10,0.31176756098866465,0.1439433346235093,0.01
1,20,0.3038595339516178,0.14282152542387488,0.01
2,30,,0.005952180594213324,0.01
3,40,,0.005952180594213324,0.01
4,50,,0.005952180594213324,0.01
5,60,,0.005952180594213324,0.01
6,70,,0.005952180594213324,0.01
7,80,,0.005952180594213324,0.01
8,90,,0.005952180594213324,0.01
9,100,,0.005952180594213324,0.01
10,10,0.31395035739988086,0.17070342499967414,0.001
11,20,0.24311255058273673,0.1721592031032326,0.001
12,30,0.22047371267108246,0.17177572599878355,0.001
13,40,0.2104302541236393,0.17192734557595238,0.001
14,50,0.20478330758633093,0.17135296024283944,0.001
15,60,0.20150331255281345,0.17226667074432578,0.001
16,70,0.19847181676886977,0.17177784841936095,0.001
17,80,0.19716596973594278,0.17233211502203014,0.001
18,90,0.19553118048934265,0.1719020845788027,0.001
19,100,0.194313181808684,0.17251409301838677,0.001
